Nombre,Equipo,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,G,PER
Rayjon Tucker,Philadelphia 76ers,67,9,18,2,7,14,19,1,10,6,2,0,4,8,34,14,18.34
Reggie Bullock,New York Knicks,1949,248,561,163,398,50,55,16,207,99,52,11,45,146,709,65,12.89
Reggie Jackson,Los Angeles Clippers,1544,263,585,122,282,67,82,24,168,205,41,7,74,127,715,67,16.81
Reggie Perry,Brooklyn Nets,208,32,78,4,21,10,13,27,46,14,6,6,15,40,78,26,13.68
Richaun Holmes,Sacramento Kings,1781,366,575,2,11,135,170,144,360,101,39,96,75,213,869,61,23.35
Ricky Rubio,Minnesota Timberwolves,1769,193,498,66,214,130,150,28,195,433,98,4,111,139,582,68,16.83
Robert Covington,Portland Trail Blazers,2241,204,509,135,356,50,62,61,405,117,101,84,64,195,593,70,12.94
Robert Franks,Orlando Magic,101,13,28,5,15,12,13,6,8,5,3,3,2,8,43,7,18.71
Robert Williams,Boston Celtics,986,186,258,0,2,45,73,133,225,94,43,91,52,105,417,52,28.16
Robert Woodard II,Sacramento Kings,46,8,20,1,6,3,8,4,12,2,0,3,1,4,20,13,15.36
Robin Lopez,Washington Wizards,1356,269,425,5,18,99,137,141,131,55,15,44,75,109,642,71,19.99
Rodions Kurucs,Brooklyn Nets,15,1,3,1,2,0,0,0,3,2,0,0,0,1,3,5,10.37
Rodions Kurucs,Houston Rockets,76,5,21,2,15,1,2,2,9,4,6,4,9,7,13,11,2.07
Rodions Kurucs,Milwaukee Bucks,33,5,8,3,4,2,2,3,6,4,3,0,4,8,15,5,21.64
Rodney Hood,Portland Trail Blazers,726,73,201,25,84,9,12,18,55,47,20,4,31,59,180,38,6.34
Rodney Hood,Toronto Raptors,216,21,59,9,29,15,16,5,25,6,4,3,5,15,66,17,9.45
Rodney McGruder,Detroit Pistons,194,37,70,11,24,6,8,8,14,16,8,1,7,12,91,16,18.85
Romeo Langford,Boston Celtics,285,21,59,5,18,9,12,12,23,13,6,5,10,24,56,18,6.18
Rondae Hollis-Jefferson,Portland Trail Blazers,108,9,18,0,1,9,16,11,15,13,2,4,2,15,27,11,15.77
Royce O'Neale,Utah Jazz,2243,175,394,107,278,39,46,88,397,181,57,32,83,182,496,71,11.58
Rudy Gay,San Antonio Spurs,1356,264,628,106,278,82,102,42,261,88,45,40,65,115,716,63,17.99
Rudy Gobert,Utah Jazz,2185,391,579,0,4,233,374,240,720,89,40,190,118,163,1015,71,26.47
Rui Hachimura,Washington Wizards,1792,310,648,45,137,124,161,49,263,82,44,7,68,120,789,57,14.69
Russell Westbrook,Washington Wizards,2370,544,1238,86,273,271,413,109,641,763,89,23,312,190,1445,65,25.15
Ryan Arcidiacono,Chicago Bulls,452,49,117,25,67,13,20,5,62,56,9,0,10,47,136,44,12.16
Saben Lee,Detroit Pistons,780,99,210,8,23,61,89,20,77,174,32,13,55,76,267,48,16.38
Saddiq Bey,Detroit Pistons,1911,279,691,175,460,124,147,43,275,95,52,14,60,110,857,70,15.43
Sam Merrill,Milwaukee Bucks,233,32,72,21,47,4,4,6,24,21,8,1,10,17,89,30,14.64
Sean McDermott,Memphis Grizzlies,158,13,33,5,22,8,8,6,13,4,2,3,4,8,39,18,8.89
Sekou Doumbouya,Detroit Pistons,866,107,282,26,115,45,64,39,104,47,24,9,44,94,285,56,8.95
Semi Ojeleye,Boston Celtics,948,89,221,58,158,24,32,31,116,37,17,0,21,56,260,56,9.98
Serge Ibaka,Los Angeles Clippers,955,186,365,39,115,43,53,73,202,74,9,47,44,76,454,41,20.78
Seth Curry,Philadelphia 76ers,1638,258,552,126,280,69,77,10,126,155,44,8,65,96,711,57,15.5
Shai Gilgeous-Alexander,Oklahoma City Thunder,1178,287,565,71,170,185,229,19,147,207,27,23,106,70,830,35,26.1
Shake Milton,Philadelphia 76ers,1465,300,667,71,203,146,176,33,115,193,39,18,103,130,817,63,17.75
Shaquille Harrison,Denver Nuggets,274,20,58,3,14,13,16,4,35,16,15,5,6,30,56,17,8.49
Shaquille Harrison,Utah Jazz,57,6,20,0,2,5,6,3,6,9,2,0,5,3,17,17,8.52
Sindarius Thornwell,New Orleans Pelicans,74,7,21,3,9,0,2,1,4,4,5,1,4,3,17,14,6.03
Sindarius Thornwell,Orlando Magic,143,8,25,4,14,4,6,2,11,17,8,1,3,12,24,7,9.14
Skylar Mays,Atlanta Hawks,271,44,98,14,40,22,25,10,25,30,14,2,9,15,124,33,19.37
Solomon Hill,Atlanta Hawks,1514,107,298,68,212,35,46,42,172,75,50,11,42,116,317,71,8.12
Spencer Dinwiddie,Brooklyn Nets,64,6,16,2,7,6,6,0,13,9,2,1,5,4,20,3,12.82
Stanley Johnson,Toronto Raptors,1005,89,233,45,137,44,55,29,124,89,52,18,54,116,267,61,10.77
Stephen Curry,Golden State Warriors,2152,658,1365,337,801,362,395,29,316,363,77,8,213,119,2015,63,33.4
Sterling Brown,Houston Rockets,1227,150,335,91,215,25,31,38,186,72,38,12,41,97,416,51,13.66
Steven Adams,New Orleans Pelicans,1606,189,308,0,3,60,135,213,301,111,54,38,78,113,438,58,17.28
Svi Mykhailiuk,Detroit Pistons,636,84,223,57,171,24,30,11,63,57,27,6,39,33,249,36,12.7
Svi Mykhailiuk,Oklahoma City Thunder,689,124,283,48,143,14,20,13,76,53,24,6,49,30,310,30,13.47
T.J. Leaf,Portland Trail Blazers,34,5,10,0,0,2,2,0,5,1,2,1,2,1,12,7,13.46
T.J. McConnell,Indiana Pacers,1796,274,490,15,48,33,48,55,201,456,128,23,135,113,596,69,20.38
T.J. Warren,Indiana Pacers,118,27,51,0,7,8,10,2,12,5,2,0,4,16,62,4,14.91
Tacko Fall,Boston Celtics,135,21,29,0,0,5,15,16,36,3,1,20,6,22,47,19,21.64
Taj Gibson,New York Knicks,937,99,158,3,15,40,55,99,151,36,31,49,22,99,241,45,17.05
Talen Horton-Tucker,Los Angeles Lakers,1301,224,489,37,131,100,129,25,144,181,63,21,105,127,585,65,15.86
Taurean Prince,Brooklyn Nets,219,30,74,13,37,24,27,2,32,7,8,8,11,21,97,12,14.49
Taurean Prince,Cleveland Cavaliers,685,101,253,49,118,41,49,17,91,69,20,15,36,54,292,29,14.91
Terance Mann,Los Angeles Clippers,1265,178,350,38,91,78,94,56,186,104,29,13,40,126,472,67,15.92
Terence Davis,Sacramento Kings,583,108,246,54,145,29,37,11,77,46,27,7,34,49,299,27,17.28
Terence Davis,Toronto Raptors,495,87,210,44,122,16,18,9,57,37,17,7,29,48,234,34,13.98
Terrance Ferguson,Philadelphia 76ers,50,1,7,0,5,0,0,0,1,2,1,0,4,7,2,13,-6.94
Terrence Ross,Orlando Magic,1345,254,616,89,264,120,138,15,143,108,47,21,74,88,717,46,16.2
Terry Rozier,Charlotte Hornets,2382,510,1134,222,571,165,202,47,255,293,87,26,128,119,1407,69,21.14
Thaddeus Young,Chicago Bulls,1654,370,662,12,45,71,113,168,255,291,74,40,137,152,823,68,23.84
Thanasis Antetokounmpo,Milwaukee Bucks,553,67,137,7,29,25,49,54,70,46,22,10,43,74,166,57,12.29
Theo Pinson,New York Knicks,36,1,9,0,8,0,0,0,5,1,0,0,1,4,2,17,-6.72
Thomas Bryant,Washington Wizards,272,59,91,9,21,16,24,18,43,15,4,8,11,31,143,10,22.54
Thon Maker,Cleveland Cavaliers,76,10,18,0,2,10,11,8,10,4,2,4,3,7,30,8,20.74
Théo Maledon,Oklahoma City Thunder,1773,226,614,105,313,101,135,25,186,227,56,11,141,126,658,65,10.7
Tim Frazier,Memphis Grizzlies,62,3,20,0,8,2,6,0,8,16,2,1,4,7,8,5,1.43
Tim Hardaway Jr.,Dallas Mavericks,1984,407,911,207,529,142,174,20,209,126,31,11,64,111,1163,70,18.6
Timothé Luwawu-Cabarrot,Brooklyn Nets,1051,130,356,75,239,35,43,28,101,69,33,6,43,99,370,58,10.13
Tobias Harris,Philadelphia 76ers,2015,473,924,82,208,182,204,62,357,220,55,51,107,119,1210,62,23.7
Tomáš Satoranský,Chicago Bulls,1310,169,329,42,118,67,79,30,112,271,40,14,96,89,447,58,16.44
Tony Bradley,Oklahoma City Thunder,399,80,122,0,2,31,44,46,89,20,9,17,27,33,191,22,23.44
Tony Bradley,Philadelphia 76ers,287,51,75,0,1,7,11,39,65,17,6,13,6,28,109,20,23.66
Tony Snell,Atlanta Hawks,992,88,171,62,109,11,11,18,94,59,13,11,21,75,249,47,10.96
Torrey Craig,Milwaukee Bucks,200,18,46,8,22,1,2,13,30,16,9,7,5,24,45,18,12.37
Torrey Craig,Phoenix Suns,603,91,181,31,84,16,20,44,110,33,19,19,20,59,229,32,17.79
Trae Young,Atlanta Hawks,2124,487,1112,136,397,484,546,38,207,594,53,12,261,111,1594,63,27.45
Tre Jones,San Antonio Spurs,269,37,78,3,5,17,19,8,13,39,8,0,13,13,94,37,14.3
Tremont Waters,Boston Celtics,237,34,84,15,38,16,17,5,16,62,15,1,27,17,99,26,17.51
Trent Forrest,Utah Jazz,301,32,71,5,26,19,19,11,33,45,9,4,21,22,88,30,13.22
Trevor Ariza,Miami Heat,841,99,241,50,143,34,44,27,117,55,31,18,21,55,282,30,14.16
Trey Burke,Dallas Mavericks,917,151,353,58,164,51,57,10,44,81,36,7,33,64,411,62,14.73
Trey Lyles,San Antonio Spurs,357,43,90,14,40,15,23,9,77,14,6,1,6,13,115,23,13.74
Tristan Thompson,Boston Celtics,1288,169,326,0,3,71,120,169,270,67,24,33,62,119,409,54,16.17
Troy Brown Jr.,Chicago Bulls,238,29,55,8,24,5,6,9,35,10,7,2,5,20,71,13,13.27
Troy Brown Jr.,Washington Wizards,284,33,89,14,46,10,15,11,50,19,3,4,16,29,90,21,8.86
Ty Jerome,Oklahoma City Thunder,788,128,287,71,168,26,34,10,81,120,20,6,47,61,353,33,16.46
Ty-Shon Alexander,Phoenix Suns,45,3,12,2,9,1,2,2,8,6,0,1,3,2,9,15,6.28
Tyler Bey,Dallas Mavericks,70,7,22,1,4,3,5,8,11,3,0,1,3,6,18,18,7.42
Tyler Cook,Brooklyn Nets,16,1,3,0,0,0,0,1,1,2,0,0,1,2,2,4,2.66
Tyler Cook,Detroit Pistons,420,68,100,1,2,17,35,27,66,15,8,2,20,33,154,28,15.45
Tyler Herro,Miami Heat,1631,307,699,107,297,94,117,25,243,184,35,17,101,71,815,54,16.75
Tyler Johnson,Brooklyn Nets,685,72,183,48,132,18,21,6,71,47,14,0,17,43,210,39,10.38
Tyrell Terry,Dallas Mavericks,57,5,16,0,7,1,3,0,6,6,5,0,2,2,11,11,7.52
Tyrese Haliburton,Sacramento Kings,1745,292,619,121,296,48,56,39,134,309,77,28,92,83,753,58,19.31
Tyrese Maxey,Philadelphia 76ers,940,198,429,31,103,61,70,11,93,120,26,13,41,79,488,61,17.6
Tyus Jones,Memphis Grizzlies,1225,178,413,45,140,41,45,21,119,259,64,6,48,31,442,70,18.26
Udoka Azubuike,Utah Jazz,60,4,9,0,0,8,10,4,9,0,1,4,3,9,16,15,11.1
Udonis Haslem,Miami Heat,3,2,2,0,0,0,0,0,1,0,0,0,0,0,4,1,62.18
Vernon Carey Jr.,Charlotte Hornets,115,18,36,1,7,9,11,6,21,2,1,5,5,13,46,19,14.3
Victor Oladipo,Houston Rockets,669,155,381,49,153,65,83,8,87,99,24,10,51,45,424,20,19.24
Victor Oladipo,Indiana Pacers,298,64,152,25,69,27,37,1,50,38,15,2,18,23,180,9,20.21
Victor Oladipo,Miami Heat,111,16,43,4,17,12,18,3,11,14,7,2,14,13,48,4,10.88
Vincent Poirier,Philadelphia 76ers,39,3,12,0,1,2,6,6,8,2,0,3,4,8,8,10,2.69
Vlatko Čančar,Denver Nuggets,282,33,72,9,33,10,13,11,39,14,11,2,14,18,85,41,11.63
Wayne Ellington,Detroit Pistons,1013,149,338,116,275,28,35,12,73,67,18,9,33,59,442,46,14.77
Wendell Carter Jr.,Chicago Bulls,792,129,252,8,22,82,111,70,180,69,18,24,49,96,348,32,19.37
Wendell Carter Jr.,Orlando Magic,583,101,205,7,29,49,68,62,131,35,17,18,29,50,258,22,19.98
Wenyen Gabriel,New Orleans Pelicans,242,24,60,13,32,11,17,20,34,11,9,8,15,32,72,21,11.67
Wes Iwundu,Dallas Mavericks,288,17,52,3,23,12,14,6,38,10,9,3,6,26,49,23,6.04
Wes Iwundu,New Orleans Pelicans,252,17,50,2,18,14,17,9,37,8,6,1,13,23,50,18,5.19
Wesley Matthews,Los Angeles Lakers,1133,89,252,66,197,35,41,20,73,54,38,17,26,80,279,58,8.7
Will Barton,Denver Nuggets,1737,259,608,98,257,95,121,39,187,181,50,23,96,95,711,56,14.35
Will Magnay,New Orleans Pelicans,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,-36.75
Willie Cauley-Stein,Dallas Mavericks,904,115,182,1,11,49,78,66,170,35,21,43,29,129,280,53,15.88
Willy Hernangómez,New Orleans Pelicans,845,151,268,1,10,62,93,117,217,50,22,23,34,68,365,47,22.86
Xavier Tillman Sr.,Memphis Grizzlies,1086,167,299,22,65,34,53,74,182,75,44,33,45,116,390,59,17.45
Yogi Ferrell,Cleveland Cavaliers,41,8,21,3,9,0,2,3,4,5,3,1,3,4,19,2,14.96
Yogi Ferrell,Los Angeles Clippers,97,12,36,6,19,7,7,2,10,17,4,2,0,7,37,8,17.71
Yuta Watanabe,Toronto Raptors,722,79,180,36,90,24,29,36,123,40,26,19,19,57,218,50,14.5
Zach LaVine,Chicago Bulls,2036,569,1123,200,477,253,298,36,253,282,46,27,203,138,1591,58,26.33
Zeke Nnaji,Denver Nuggets,397,50,104,24,59,12,15,14,51,10,8,4,7,29,136,42,13.3
Zion Williamson,New Orleans Pelicans,2026,634,1037,10,34,369,529,167,274,226,57,39,167,135,1647,61,32.06
