Nombre,Equipo,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,G,PER
Danilo Gallinari,Atlanta Hawks,1218,206,475,103,254,161,174,17,194,76,30,10,43,105,676,51,19.55
Danny Green,Philadelphia 76ers,1934,224,544,175,432,31,40,55,205,118,92,56,67,125,654,69,14.32
Dante Exum,Cleveland Cavaliers,116,10,26,2,11,1,2,2,15,13,4,2,7,9,23,6,7.54
Danuel House Jr.,Houston Rockets,933,110,272,54,156,41,63,18,114,69,20,16,36,67,315,36,11.54
Dario Šarić,Phoenix Suns,868,153,342,47,135,84,99,46,144,65,30,4,57,95,437,50,17.34
Darius Bazley,Oklahoma City Thunder,1716,273,690,83,286,125,178,51,345,99,29,25,122,60,754,55,12.61
Darius Garland,Cleveland Cavaliers,1788,362,802,105,266,112,132,23,106,329,66,6,164,110,941,54,17.38
Darius Miller,Oklahoma City Thunder,198,22,48,17,42,12,12,2,22,21,13,5,8,13,73,18,18.61
David Nwaba,Houston Rockets,677,106,218,17,63,47,68,40,78,31,30,21,17,60,276,30,17.22
De'Aaron Fox,Sacramento Kings,2037,529,1110,103,320,300,417,33,170,417,87,27,174,170,1461,58,25.24
De'Andre Hunter,Atlanta Hawks,678,120,248,31,95,73,85,17,93,44,19,12,29,59,344,23,18.52
De'Anthony Melton,Memphis Grizzlies,1043,172,393,87,211,41,51,30,131,132,60,31,66,85,472,52,18.65
DeAndre Jordan,Brooklyn Nets,1244,190,249,0,1,46,92,117,310,93,17,65,85,116,426,57,19.7
DeAndre' Bembry,Toronto Raptors,976,117,228,14,53,45,66,33,113,107,53,18,71,87,293,51,13.34
DeMar DeRozan,San Antonio Spurs,2056,455,920,19,74,387,440,40,219,422,56,15,119,128,1316,61,25.94
DeMarcus Cousins,Houston Rockets,507,79,210,39,116,44,59,30,161,60,21,18,39,74,241,25,18.78
DeMarcus Cousins,Los Angeles Clippers,206,51,95,8,19,15,22,23,49,16,13,6,25,33,125,16,23.45
Dean Wade,Cleveland Cavaliers,1214,134,311,78,213,30,39,38,177,74,35,21,30,78,376,63,13.38
